target,protocol,n,variable_1,variable_2,spearman_rho,abs_spearman_rho,p_value,high_collinearity,num_points
E0,LOAO,1.2,edge_area_error_abs,imbalance_ratio,0.05630646417617851,0.05630646417617851,0.7480052232655747,False,35
E0,LOAO,1.2,edge_area_error_abs,a,-0.43611776769806465,0.43611776769806465,0.008819240944977918,False,35
E0,LOAO,1.2,edge_area_error_abs,aspect_ratio,-0.05587652441257806,0.05587652441257806,0.7498677492164155,False,35
E0,LOAO,1.2,imbalance_ratio,a,-0.23604721416472166,0.23604721416472166,0.1722091831077762,False,35
E0,LOAO,1.2,imbalance_ratio,aspect_ratio,0.11881770515720093,0.11881770515720093,0.49661800526370115,False,35
E0,LOAO,1.2,a,aspect_ratio,0.0,0.0,1.0,False,35
E0,LOAO,2.0,edge_area_error_abs,imbalance_ratio,0.14061624649859944,0.14061624649859944,0.4204160897851879,False,35
E0,LOAO,2.0,edge_area_error_abs,a,0.07201440432144052,0.07201440432144052,0.680995741499216,False,35
E0,LOAO,2.0,edge_area_error_abs,aspect_ratio,0.16973957879600132,0.16973957879600132,0.3296489159469278,False,35
E0,LOAO,2.0,imbalance_ratio,a,-0.17603521056352123,0.17603521056352123,0.3117564929208399,False,35
E0,LOAO,2.0,imbalance_ratio,aspect_ratio,-0.10750173323746749,0.10750173323746749,0.5387681180845816,False,35
E0,LOAO,2.0,a,aspect_ratio,0.0,0.0,1.0,False,35
E0,LOAO,3.0,edge_area_error_abs,imbalance_ratio,0.1512605042016807,0.1512605042016807,0.3857359246499711,False,35
E0,LOAO,3.0,edge_area_error_abs,a,-0.1880376112837613,0.1880376112837613,0.2793725414292134,False,35
E0,LOAO,3.0,edge_area_error_abs,aspect_ratio,0.2928007734231023,0.2928007734231023,0.08782938357052371,False,35
E0,LOAO,3.0,imbalance_ratio,a,-0.5881176352917641,0.5881176352917641,0.00020286807034915568,False,35
E0,LOAO,3.0,imbalance_ratio,aspect_ratio,0.11881770515720093,0.11881770515720093,0.49661800526370115,False,35
E0,LOAO,3.0,a,aspect_ratio,0.0,0.0,1.0,False,35
E0,LOAO,4.0,edge_area_error_abs,imbalance_ratio,-0.06470588235294118,0.06470588235294118,0.7119115002167195,False,35
E0,LOAO,4.0,edge_area_error_abs,a,-0.14802960888296102,0.14802960888296102,0.3960818791501843,False,35
E0,LOAO,4.0,edge_area_error_abs,aspect_ratio,0.46254035221910356,0.46254035221910356,0.005147275160684367,False,35
E0,LOAO,4.0,imbalance_ratio,a,-0.17603521056352123,0.17603521056352123,0.3117564929208399,False,35
E0,LOAO,4.0,imbalance_ratio,aspect_ratio,-0.26309634713380203,0.26309634713380203,0.12675685941063158,False,35
E0,LOAO,4.0,a,aspect_ratio,0.0,0.0,1.0,False,35
E0,LOARO,1.2,edge_area_error_abs,imbalance_ratio,0.05630646417617851,0.05630646417617851,0.7480052232655747,False,35
E0,LOARO,1.2,edge_area_error_abs,a,-0.43611776769806465,0.43611776769806465,0.008819240944977918,False,35
E0,LOARO,1.2,edge_area_error_abs,aspect_ratio,-0.05587652441257806,0.05587652441257806,0.7498677492164155,False,35
E0,LOARO,1.2,imbalance_ratio,a,-0.23604721416472166,0.23604721416472166,0.1722091831077762,False,35
E0,LOARO,1.2,imbalance_ratio,aspect_ratio,0.11881770515720093,0.11881770515720093,0.49661800526370115,False,35
E0,LOARO,1.2,a,aspect_ratio,0.0,0.0,1.0,False,35
E0,LOARO,2.0,edge_area_error_abs,imbalance_ratio,0.14061624649859944,0.14061624649859944,0.4204160897851879,False,35
E0,LOARO,2.0,edge_area_error_abs,a,0.07201440432144052,0.07201440432144052,0.680995741499216,False,35
E0,LOARO,2.0,edge_area_error_abs,aspect_ratio,0.16973957879600132,0.16973957879600132,0.3296489159469278,False,35
E0,LOARO,2.0,imbalance_ratio,a,-0.17603521056352123,0.17603521056352123,0.3117564929208399,False,35
