a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E
16,0.67,1.2,0.5,0.25,0.0,398,199,199,0,199,0,194,10,True,10,1.7683906868534624e-15,0.021832324241418868
16,0.67,1.2,0.33,0.17,0.0,403,201,202,1,201,1,196,11,True,11,1.4277807856069555e-15,0.026622101364897753
16,1.0,1.2,0.0,0.0,0.0,593,289,304,15,289,15,280,33,True,33,1.857070039904699e-15,0.04663043383090791
16,1.0,1.2,0.1,0.0,0.0,596,292,304,12,292,12,286,24,True,24,4.153110824267305e-15,0.04202887088172142
16,1.0,1.2,0.25,0.0,0.0,604,298,306,8,298,8,296,12,True,12,1.9988012475327924e-15,0.03457938565697959
16,1.0,1.2,0.5,0.0,0.0,608,304,304,0,304,0,304,0,True,0,0.0,0.003997914658670611
16,1.0,1.2,0.75,0.0,0.0,604,306,298,8,298,8,296,12,True,12,4.0642830417068056e-15,0.034579385656978365
16,1.0,1.2,0.25,0.25,0.0,598,296,302,6,296,6,290,18,True,18,2.0894668100491214e-15,0.02672207356629735
16,1.0,1.2,0.5,0.5,0.0,596,298,298,0,298,0,282,32,True,32,5.12535904942165e-15,0.03806541060974872
16,1.0,1.2,0.5,0.25,0.0,604,302,302,0,302,0,294,16,True,16,1.79789066776362e-15,0.03704253368235494
16,1.0,1.2,0.33,0.17,0.0,603,301,302,1,301,1,296,11,True,11,2.028920479831229e-15,0.025838883166853628
8,0.67,2.0,0.0,0.0,0.0,135,65,70,5,65,5,65,5,True,5,5.695401060707869e-16,0.055346331380885794
8,0.67,2.0,0.1,0.0,0.0,134,64,70,6,64,6,64,6,True,6,7.957876443187361e-16,0.055871197437822706
8,0.67,2.0,0.25,0.0,0.0,138,66,72,6,66,6,66,6,True,6,2.4427516989410428e-15,0.050116793054825685
8,0.67,2.0,0.5,0.0,0.0,136,68,68,0,68,0,68,0,True,0,0.0,0.029456414666106028
8,0.67,2.0,0.75,0.0,0.0,138,72,66,6,66,6,66,6,True,6,1.3599263181635571e-15,0.05011679305482457
8,0.67,2.0,0.25,0.25,0.0,136,67,69,2,67,2,66,4,True,4,1.0696244151806093e-15,0.047349641039716756
8,0.67,2.0,0.5,0.5,0.0,132,66,66,0,66,0,66,0,True,0,0.0,0.025573232697258846
8,0.67,2.0,0.5,0.25,0.0,138,69,69,0,69,0,68,2,True,2,1.6630256934708248e-15,0.0445431124863833
8,0.67,2.0,0.33,0.17,0.0,136,67,69,2,67,2,66,4,True,4,3.3350304563959623e-15,0.04557463617391771
8,1.0,2.0,0.0,0.0,0.0,197,101,96,5,96,5,90,17,True,17,1.174204302686628e-15,0.14186904129905029
8,1.0,2.0,0.1,0.0,0.0,198,98,100,2,98,2,94,10,True,10,9.911253983314859e-16,0.047371055963019014
8,1.0,2.0,0.25,0.0,0.0,198,98,100,2,98,2,96,6,True,6,9.009167423604663e-16,0.04734053970271806
8,1.0,2.0,0.5,0.0,0.0,196,98,98,0,98,0,98,0,True,0,0.0,0.009212529565826064
8,1.0,2.0,0.75,0.0,0.0,198,100,98,2,98,2,96,6,True,6,1.710429205419764e-15,0.04734053970271775
8,1.0,2.0,0.25,0.25,0.0,203,101,102,1,101,1,96,11,True,11,2.9155463607897244e-15,0.10146641230181114
8,1.0,2.0,0.5,0.5,0.0,208,104,104,0,104,0,96,16,True,16,2.4642905243765336e-15,0.10857779617582183
8,1.0,2.0,0.5,0.25,0.0,202,101,101,0,101,0,96,10,True,10,1.8625238795201776e-15,0.09874253426366203
8,1.0,2.0,0.33,0.17,0.0,202,101,101,0,101,0,97,8,True,8,1.3059663729553647e-15,0.07875181643388232
12,0.67,2.0,0.0,0.0,0.0,301,153,148,5,148,5,148,5,True,5,1.0855745644086913e-15,0.024415195540812697
12,0.67,2.0,0.1,0.0,0.0,306,154,152,2,152,2,150,6,True,6,1.982571053366834e-15,0.021058550658813693
12,0.67,2.0,0.25,0.0,0.0,302,152,150,2,150,2,147,8,True,8,1.679688306137903e-15,0.022122524163250737
12,0.67,2.0,0.5,0.0,0.0,300,150,150,0,150,0,145,10,True,10,1.6435168108406714e-15,0.019415429091289266
12,0.67,2.0,0.75,0.0,0.0,302,150,152,2,150,2,147,8,True,8,1.8746765314001592e-15,0.02212252416325047
12,0.67,2.0,0.25,0.25,0.0,302,151,151,0,151,0,147,8,True,8,1.3461383986411505e-15,0.02448787583705211
12,0.67,2.0,0.5,0.5,0.0,304,152,152,0,152,0,149,6,True,6,7.490373027266139e-16,0.01841328035114105
12,0.67,2.0,0.5,0.25,0.0,306,153,153,0,153,0,151,4,True,4,1.3456130751727016e-15,0.01622365954355181
12,0.67,2.0,0.33,0.17,0.0,303,152,151,1,151,1,148,7,True,7,1.907136549809498e-15,0.019766966924207915
12,1.0,2.0,0.0,0.0,0.0,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131
12,1.0,2.0,0.1,0.0,0.0,446,224,222,2,222,2,216,14,True,14,1.6614341581566747e-15,0.032432795759667746
12,1.0,2.0,0.25,0.0,0.0,450,228,222,6,222,6,220,10,True,10,3.3092630307993763e-15,0.016214449808071168
12,1.0,2.0,0.5,0.0,0.0,452,226,226,0,226,0,226,0,True,0,0.0,0.0030609687403766617
12,1.0,2.0,0.75,0.0,0.0,450,222,228,6,222,6,220,10,True,10,2.2220001431272724e-15,0.01621444980807074
12,1.0,2.0,0.25,0.25,0.0,451,229,222,7,222,7,217,17,True,17,1.3585237786462626e-15,0.05094008043575538
12,1.0,2.0,0.5,0.5,0.0,448,224,224,0,224,0,212,24,True,24,2.857142637938466e-15,0.04985402174178631
12,1.0,2.0,0.5,0.25,0.0,454,227,227,0,227,0,222,10,True,10,1.698649014935708e-15,0.04743384430366708
12,1.0,2.0,0.33,0.17,0.0,453,228,225,3,225,3,221,11,True,11,1.2160012123406385e-15,0.023717498475539337
16,0.67,2.0,0.0,0.0,0.0,537,267,270,3,267,3,266,5,True,5,1.5110415179816257e-15,0.010345861215156278
16,0.67,2.0,0.1,0.0,0.0,538,266,272,6,266,6,266,6,True,6,1.8094848108532354e-15,0.008936771248727837
16,0.67,2.0,0.25,0.0,0.0,538,268,270,2,268,2,266,6,True,6,3.0408058520001317e-15,0.010781159858860846
16,0.67,2.0,0.5,0.0,0.0,540,270,270,0,270,0,264,12,True,12,2.321415696918681e-15,0.01366117045259802
16,0.67,2.0,0.75,0.0,0.0,538,270,268,2,268,2,266,6,True,6,9.972389367682146e-16,0.010781159858860655
16,0.67,2.0,0.25,0.25,0.0,536,268,268,0,268,0,266,4,True,4,4.0175419724206734e-16,0.011265780619432314
16,0.67,2.0,0.5,0.5,0.0,544,272,272,0,272,0,264,16,True,16,1.7547084184641558e-15,0.014992700919932725
16,0.67,2.0,0.5,0.25,0.0,538,269,269,0,269,0,268,2,True,2,6.811519008653775e-16,0.011539365507844937
16,0.67,2.0,0.33,0.17,0.0,538,269,269,0,269,0,267,4,True,4,1.9543118162363435e-15,0.011998227178794606
16,1.0,2.0,0.0,0.0,0.0,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206
16,1.0,2.0,0.1,0.0,0.0,796,402,394,8,394,8,384,28,True,28,1.658113424300617e-15,0.024622969476678132
16,1.0,2.0,0.25,0.0,0.0,798,402,396,6,396,6,390,18,True,18,1.6212650253870082e-15,0.012344454718104832
16,1.0,2.0,0.5,0.0,0.0,800,400,400,0,400,0,400,0,True,0,0.0,0.002155793217536802
16,1.0,2.0,0.75,0.0,0.0,798,396,402,6,396,6,390,18,True,18,2.5351784910952022e-15,0.01234445471810423
16,1.0,2.0,0.25,0.25,0.0,807,405,402,3,402,3,392,23,True,23,1.8936155516637725e-15,0.029789505672419284
16,1.0,2.0,0.5,0.5,0.0,812,406,406,0,406,0,390,32,True,32,2.4790135735674035e-15,0.02992033884995565
16,1.0,2.0,0.5,0.25,0.0,806,403,403,0,403,0,392,22,True,22,2.2816967930850786e-15,0.028459196626861475
16,1.0,2.0,0.33,0.17,0.0,806,404,402,2,402,2,395,16,True,16,3.945312075536947e-15,0.02550689189955092
8,0.67,3.0,0.0,0.0,0.0,151,77,74,3,74,3,73,5,True,5,4.0102466540073424e-16,0.03385751626949905
8,0.67,3.0,0.1,0.0,0.0,152,76,76,0,76,0,75,2,True,2,1.0162075155134225e-15,0.03264105777563764
8,0.67,3.0,0.25,0.0,0.0,154,78,76,2,76,2,76,2,True,2,1.3881190992132908e-15,0.04099378731922866
8,0.67,3.0,0.5,0.0,0.0,160,80,80,0,80,0,78,4,True,4,1.0335408451936033e-15,0.038288116790794545
8,0.67,3.0,0.75,0.0,0.0,154,76,78,2,76,2,76,2,True,2,1.2911919846283061e-15,0.04099378731922807
8,0.67,3.0,0.25,0.25,0.0,154,79,75,4,75,4,74,6,True,6,1.334214710475226e-15,0.045953678471754696
8,0.67,3.0,0.5,0.5,0.0,148,74,74,0,74,0,74,0,True,0,0.0,0.04522229467249656
8,0.67,3.0,0.5,0.25,0.0,152,76,76,0,76,0,75,2,True,2,1.720005273972695e-15,0.03115423860362761
8,0.67,3.0,0.33,0.17,0.0,155,79,76,3,76,3,76,3,True,3,6.952340059318221e-16,0.039867862945909556
8,1.0,3.0,0.0,0.0,0.0,217,113,104,9,104,9,100,17,True,17,1.5199952459040882e-15,0.12715209648599343
8,1.0,3.0,0.1,0.0,0.0,218,112,106,6,106,6,104,10,True,10,8.350200503769721e-16,0.023610187667783566
8,1.0,3.0,0.25,0.0,0.0,220,112,108,4,108,4,106,8,True,8,1.5399080346784121e-15,0.014133012223412853
8,1.0,3.0,0.5,0.0,0.0,224,112,112,0,112,0,112,0,True,0,0.0,0.005329504634271757
8,1.0,3.0,0.75,0.0,0.0,220,108,112,4,108,4,106,8,True,8,1.950221746923893e-15,0.014133012223412162
8,1.0,3.0,0.25,0.25,0.0,227,113,114,1,113,1,107,13,True,13,2.032101925828327e-15,0.10043229555350681
8,1.0,3.0,0.5,0.5,0.0,224,112,112,0,112,0,104,16,True,16,2.5245075156228314e-15,0.10334586704201568
8,1.0,3.0,0.5,0.25,0.0,228,114,114,0,114,0,108,12,True,12,1.972865599396632e-15,0.09652421813587289
8,1.0,3.0,0.33,0.17,0.0,227,114,113,1,113,1,108,11,True,11,1.4508797673590643e-15,0.07451090813658733
12,0.67,3.0,0.0,0.0,0.0,337,169,168,1,168,1,165,7,True,7,2.220985553215306e-15,0.018233033550318946
12,0.67,3.0,0.1,0.0,0.0,342,170,172,2,170,2,167,8,True,8,1.5818699533915278e-15,0.019785604390592796
12,0.67,3.0,0.25,0.0,0.0,344,170,174,4,170,4,167,10,True,10,1.740638678756263e-15,0.02154291291250637
12,0.67,3.0,0.5,0.0,0.0,340,170,170,0,170,0,166,8,True,8,1.3131112053316424e-15,0.020389162784964512
12,0.67,3.0,0.75,0.0,0.0,344,174,170,4,170,4,167,10,True,10,3.5390302321139597e-15,0.02154291291250593
12,0.67,3.0,0.25,0.25,0.0,341,170,171,1,170,1,168,5,True,5,9.740955485127509e-16,0.02006679581097732
12,0.67,3.0,0.5,0.5,0.0,344,172,172,0,172,0,172,0,True,0,0.0,0.011259596084767134
12,0.67,3.0,0.5,0.25,0.0,344,172,172,0,172,0,171,2,True,2,1.1398531974120968e-15,0.01792428703881403
12,0.67,3.0,0.33,0.17,0.0,342,170,172,2,170,2,168,6,True,6,2.048814579705295e-15,0.020722183286060545
12,1.0,3.0,0.0,0.0,0.0,493,253,240,13,240,13,234,25,True,25,2.147227737089381e-15,0.05644687961989565
12,1.0,3.0,0.1,0.0,0.0,500,252,248,4,248,4,244,12,True,12,1.5612795226530046e-15,0.009705403637329591
12,1.0,3.0,0.25,0.0,0.0,500,252,248,4,248,4,246,8,True,8,1.4133136011515356e-15,0.006461731039095311
12,1.0,3.0,0.5,0.0,0.0,500,250,250,0,250,0,250,0,True,0,0.0,0.001820425333399249
12,1.0,3.0,0.75,0.0,0.0,500,248,252,4,248,4,246,8,True,8,2.2388339676658468e-15,0.006461731039093632
12,1.0,3.0,0.25,0.25,0.0,509,255,254,1,254,1,245,19,True,19,2.286124161394221e-15,0.048829138818166584
12,1.0,3.0,0.5,0.5,0.0,512,256,256,0,256,0,244,24,True,24,2.648632166465875e-15,0.048994654192733654
12,1.0,3.0,0.5,0.25,0.0,514,257,257,0,257,0,250,14,True,14,3.1627673249554917e-15,0.04647509432699676
12,1.0,3.0,0.33,0.17,0.0,511,255,256,1,255,1,249,13,True,13,1.6627662777415392e-15,0.044214181882619885
16,0.67,3.0,0.0,0.0,0.0,601,299,302,3,299,3,299,3,True,3,1.987287826291008e-15,0.01138413632375562
16,0.67,3.0,0.1,0.0,0.0,602,300,302,2,300,2,299,4,True,4,5.282285541732627e-15,0.011363950482822344
16,0.67,3.0,0.25,0.0,0.0,604,300,304,4,300,4,300,4,True,4,1.2920401694828076e-15,0.011416746610325126
16,0.67,3.0,0.5,0.0,0.0,600,300,300,0,300,0,298,4,True,4,1.553920053852192e-15,0.011372167049765134
16,0.67,3.0,0.75,0.0,0.0,604,304,300,4,300,4,300,4,True,4,7.768962064558368e-16,0.011416746610324742
16,0.67,3.0,0.25,0.25,0.0,603,301,302,1,301,1,299,5,True,5,2.001354955374409e-15,0.012064962597330262
16,0.67,3.0,0.5,0.5,0.0,616,308,308,0,308,0,308,0,True,0,0.0,0.009311529920018415
16,0.67,3.0,0.5,0.25,0.0,604,302,302,0,302,0,301,2,True,2,1.553633737868529e-15,0.010019384877560995
16,0.67,3.0,0.33,0.17,0.0,604,303,301,2,301,2,299,6,True,6,1.8822749937275634e-15,0.01203479893182109
16,1.0,3.0,0.0,0.0,0.0,889,441,448,7,441,7,428,33,True,33,3.4368562815317055e-15,0.03139504696646338
16,1.0,3.0,0.1,0.0,0.0,894,446,448,2,446,2,440,14,True,14,2.0939421803578694e-15,0.004920067422065672
16,1.0,3.0,0.25,0.0,0.0,896,446,450,4,446,4,442,12,True,12,4.35786687552211e-15,0.003511655375013853
16,1.0,3.0,0.5,0.0,0.0,896,448,448,0,448,0,448,0,True,0,0.0,0.000752000910991172
16,1.0,3.0,0.75,0.0,0.0,896,450,446,4,446,4,442,12,True,12,2.5465923573421925e-15,0.0035116553750142313
16,1.0,3.0,0.25,0.25,0.0,903,451,452,1,451,1,439,25,True,25,1.2061148649820054e-15,0.028270280705340444
16,1.0,3.0,0.5,0.5,0.0,908,454,454,0,454,0,438,32,True,32,2.233745698985806e-15,0.027623079254745605
16,1.0,3.0,0.5,0.25,0.0,908,454,454,0,454,0,442,24,True,24,2.9514241262847178e-15,0.027304659632538197
16,1.0,3.0,0.33,0.17,0.0,905,453,452,1,452,1,443,19,True,19,2.328290026012539e-15,0.025418378101156124
8,0.67,4.0,0.0,0.0,0.0,159,81,78,3,78,3,78,3,True,3,8.5186000910764715e-16,0.03281010142062389
8,0.67,4.0,0.1,0.0,0.0,162,82,80,2,80,2,79,4,True,4,5.648913227417637e-16,0.03964209511038342
8,0.67,4.0,0.25,0.0,0.0,164,82,82,0,82,0,79,6,True,6,1.6770792849777647e-15,0.04213254655546769
8,0.67,4.0,0.5,0.0,0.0,164,82,82,0,82,0,80,4,True,4,1.7664413886753626e-15,0.03398966560143412
8,0.67,4.0,0.75,0.0,0.0,164,82,82,0,82,0,79,6,True,6,1.5807188725358543e-15,0.04213254655546825
8,0.67,4.0,0.25,0.25,0.0,161,80,81,1,80,1,79,3,True,3,1.643637184095323e-15,0.03726489252321198
8,0.67,4.0,0.5,0.5,0.0,156,78,78,0,78,0,78,0,True,0,0.0,0.025054510338916907
8,0.67,4.0,0.5,0.25,0.0,160,80,80,0,80,0,78,4,True,4,1.3353174962237428e-15,0.040784209720044644
8,0.67,4.0,0.33,0.17,0.0,163,81,82,1,81,1,79,5,True,5,1.2755355651304612e-15,0.042773857281649966
8,1.0,4.0,0.0,0.0,0.0,225,113,112,1,112,1,104,17,True,17,1.8571139268681583e-15,0.1233974674983503
8,1.0,4.0,0.1,0.0,0.0,228,112,116,4,112,4,110,8,True,8,1.4581371760269756e-15,0.0141329258095767
8,1.0,4.0,0.25,0.0,0.0,230,114,116,2,114,2,112,6,True,6,1.6011708856015295e-15,0.009411396721630345
8,1.0,4.0,0.5,0.0,0.0,228,114,114,0,114,0,114,0,True,0,0.0,0.004661265873891187
8,1.0,4.0,0.75,0.0,0.0,230,116,114,2,114,2,112,6,True,6,1.2014620757163421e-15,0.009411396721630211
8,1.0,4.0,0.25,0.25,0.0,237,119,118,1,118,1,112,13,True,13,1.6213573111742387e-15,0.09916436414617957
8,1.0,4.0,0.5,0.5,0.0,244,122,122,0,122,0,114,16,True,16,3.187739604824687e-15,0.10104908217391467
8,1.0,4.0,0.5,0.25,0.0,240,120,120,0,120,0,114,12,True,12,1.6785267456146765e-15,0.09723135116121161
8,1.0,4.0,0.33,0.17,0.0,237,118,119,1,118,1,113,11,True,11,1.7781161654333005e-15,0.07078684784171208
12,0.67,4.0,0.0,0.0,0.0,353,181,172,9,172,9,172,9,True,9,1.7057806118109594e-15,0.020442533547532844
12,0.67,4.0,0.1,0.0,0.0,360,182,178,4,178,4,177,6,True,6,1.2104170981224485e-15,0.01745323792518639
12,0.67,4.0,0.25,0.0,0.0,362,184,178,6,178,6,177,8,True,8,2.120991424296977e-15,0.018357188501559037
12,0.67,4.0,0.5,0.0,0.0,364,182,182,0,182,0,177,10,True,10,1.5148607705756416e-15,0.020566532196324844
12,0.67,4.0,0.75,0.0,0.0,362,178,184,6,178,6,177,8,True,8,1.577764136863139e-15,0.018357188501558635
12,0.67,4.0,0.25,0.25,0.0,358,180,178,2,178,2,177,4,True,4,8.55285991055833e-16,0.01804854532458181
12,0.67,4.0,0.5,0.5,0.0,356,178,178,0,178,0,177,2,True,2,1.5562400481611704e-15,0.012351282302681078
12,0.67,4.0,0.5,0.25,0.0,358,179,179,0,179,0,177,4,True,4,1.0906093727558762e-15,0.013799874661312229
12,0.67,4.0,0.33,0.17,0.0,359,181,178,3,178,3,177,5,True,5,4.359940449271719e-15,0.018331504148193428
12,1.0,4.0,0.0,0.0,0.0,513,257,256,1,256,1,244,25,True,25,1.348226457808612e-15,0.05474136983729012
12,1.0,4.0,0.1,0.0,0.0,522,260,262,2,260,2,256,10,True,10,8.332422796315381e-16,0.004612296901179464
12,1.0,4.0,0.25,0.0,0.0,524,262,262,0,262,0,260,4,True,4,9.085823927358462e-16,0.003457875521795964
12,1.0,4.0,0.5,0.0,0.0,524,262,262,0,262,0,262,0,True,0,0.0,0.001515406692147024
12,1.0,4.0,0.75,0.0,0.0,524,262,262,0,262,0,260,4,True,4,2.240261340091989e-15,0.0034578755217957446
12,1.0,4.0,0.25,0.25,0.0,538,270,268,2,268,2,259,20,True,20,2.1967013026017604e-15,0.047568965763148376
12,1.0,4.0,0.5,0.5,0.0,544,272,272,0,272,0,260,24,True,24,3.932037400906065e-15,0.04730889965731916
12,1.0,4.0,0.5,0.25,0.0,534,267,267,0,267,0,260,14,True,14,3.870394189185122e-15,0.04367744604304846
12,1.0,4.0,0.33,0.17,0.0,536,268,268,0,268,0,260,16,True,16,1.408402790820587e-15,0.040725003911721305
16,0.67,4.0,0.0,0.0,0.0,625,315,310,5,310,5,307,11,True,11,3.0105214312365955e-15,0.011384214077122824
16,0.67,4.0,0.1,0.0,0.0,632,318,314,4,314,4,313,6,True,6,1.4757279174822293e-15,0.010912188991420166
16,0.67,4.0,0.25,0.0,0.0,630,316,314,2,314,2,311,8,True,8,1.6619180540392879e-15,0.011764292828219287
16,0.67,4.0,0.5,0.0,0.0,632,316,316,0,316,0,315,2,True,2,7.210090746261805e-16,0.01158743603994291
16,0.67,4.0,0.75,0.0,0.0,630,314,316,2,314,2,311,8,True,8,2.6096393219498043e-15,0.011764292828218293
16,0.67,4.0,0.25,0.25,0.0,632,316,316,0,316,0,314,4,True,4,1.275183304811872e-15,0.011525707052311927
16,0.67,4.0,0.5,0.5,0.0,644,322,322,0,322,0,320,4,True,4,1.7481916307623325e-15,0.009021189807822669
16,0.67,4.0,0.5,0.25,0.0,632,316,316,0,316,0,315,2,True,2,7.718685304979768e-16,0.011140076268794093
16,0.67,4.0,0.33,0.17,0.0,632,316,316,0,316,0,314,4,True,4,1.3611382561097062e-15,0.01153221983933142
16,1.0,4.0,0.0,0.0,0.0,925,469,456,13,456,13,446,33,True,33,2.374625642284361e-15,0.030620803928137735
16,1.0,4.0,0.1,0.0,0.0,930,468,462,6,462,6,458,14,True,14,3.482824240895738e-15,0.002632572429299327
16,1.0,4.0,0.25,0.0,0.0,936,468,468,0,468,0,464,8,True,8,1.9054896077177167e-15,0.0020470042301769494
16,1.0,4.0,0.5,0.0,0.0,940,470,470,0,470,0,470,0,True,0,0.0,0.0006557648001880678
16,1.0,4.0,0.75,0.0,0.0,936,468,468,0,468,0,464,8,True,8,3.207553820942431e-15,0.0020470042301770834
16,1.0,4.0,0.25,0.25,0.0,951,477,474,3,474,3,462,27,True,27,3.4761530292958396e-15,0.027622465921286865
16,1.0,4.0,0.5,0.5,0.0,948,474,474,0,474,0,458,32,True,32,3.977803828305043e-15,0.027202019940442
16,1.0,4.0,0.5,0.25,0.0,952,476,476,0,476,0,464,24,True,24,2.7158705947151656e-15,0.026973528135224047
16,1.0,4.0,0.33,0.17,0.0,950,477,473,4,473,4,464,22,True,22,3.523913189345127e-15,0.026300162958072942
